phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
position_vertex_04,position,606.0,624.0,18.0,,5.0,3.0,606.0,613.0,613.0,616.0,621.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.04892878577651153, 'position_std_m': 0.04556901030907312, 'position_slope_mps': 0.05069380996032412, 'x_slope_mps': 0.03986168159445235, 'y_slope_mps': 0.03131946214027239}",E_pos,5,,,"[37.82087938062182, 24.165856576002604]","[37.789107666015624, 24.162120475769044]",10.0,0.3199062822097487,179,30,50
position_vertex_05,position,624.0,642.0,18.0,,5.0,3.0,624.0,631.0,631.0,634.0,639.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.05549447642649241, 'position_std_m': 0.050315604449271654, 'position_slope_mps': 0.05592466343528867, 'x_slope_mps': 0.02578784173457299, 'y_slope_mps': 0.04962413927740137}",E_pos,6,,,"[35.16763174246557, 18.58402192280579]","[35.15463577270508, 18.554636878967287]",10.0,0.3213060894857767,179,30,50
position_vertex_06,position,642.0,660.0,18.0,,5.0,3.0,642.0,649.0,649.0,652.0,657.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.09307044037959086, 'position_std_m': 0.06810670058625902, 'position_slope_mps': 0.07695956987439433, 'x_slope_mps': -0.029251724261925377, 'y_slope_mps': 0.07118364996932981}",E_pos,7,,,"[36.30202940279614, 12.508682996190498]","[36.30566299438477, 12.480732135772705]",10.0,0.2818605303918771,179,30,50
position_vertex_07,position,660.0,678.0,18.0,,5.0,3.0,660.0,667.0,667.0,670.0,675.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.07090453000452356, 'position_std_m': 0.05902919192244764, 'position_slope_mps': 0.06569407333646037, 'x_slope_mps': -0.0562751707299209, 'y_slope_mps': 0.03389419464826517}",E_pos,8,,,"[40.790771012125596, 8.260412772948467]","[40.80007965087891, 8.22230848312378]",10.0,0.3922483471582026,179,30,50
position_vertex_08,position,678.0,696.0,18.0,,5.0,3.0,678.0,685.0,685.0,688.0,693.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.05767971160809804, 'position_std_m': 0.04283764199813809, 'position_slope_mps': 0.04627742373603327, 'x_slope_mps': -0.03945490874510364, 'y_slope_mps': 0.024184915206796144}",E_pos,9,,,"[46.919309842405994, 7.461906084964049]","[46.99104881286621, 7.474101734161377]",10.0,0.727682193133525,179,30,50
position_vertex_09,position,696.0,714.0,18.0,,5.0,3.0,696.0,703.0,703.0,706.0,711.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.061897284198504356, 'position_std_m': 0.049966251320943865, 'position_slope_mps': 0.05534022930291409, 'x_slope_mps': -0.052508047766710496, 'y_slope_mps': -0.01747701058613743}",E_pos,10,,,"[52.34675236184375, 10.418165346803184]","[52.380629272460936, 10.42736120223999]",10.0,0.3510283222447422,179,30,50
return_p0_after_position,hold,714.0,717.0,3.0,,5.0,3.0,714.0,714.0,,,,,,,,10,,,,,,,30,,
yaw_window_01_+90deg,yaw,717.0,733.0,16.0,,5.0,3.0,717.0,722.0,722.0,725.0,730.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.003379416440066726, 'yaw_slope_radps': 0.000640164410603223, 'yaw_rate_mean_radps': 0.016314630423902406}",E_yaw,1,,,2.0407253267948966,{'mean_wrapped_yaw_error_rad': 0.0011662054739389482},1.5707963267948966,0.07424294633528405,159,30,50
yaw_window_02_+180deg,yaw,733.0,749.0,16.0,,5.0,3.0,733.0,738.0,738.0,741.0,746.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.003569388537485675, 'yaw_slope_radps': 0.002351345994349547, 'yaw_rate_mean_radps': 0.014973134820469195}",E_yaw,2,,,3.611521653589793,{'mean_wrapped_yaw_error_rad': 0.0038640282822372286},1.5707963267948966,0.2459916805459761,160,30,50
yaw_window_03_+270deg,yaw,749.0,765.0,16.0,,5.0,3.0,749.0,754.0,754.0,757.0,762.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.003893974186057185, 'yaw_slope_radps': 0.0020105665246561376, 'yaw_rate_mean_radps': 0.012698034921911162}",E_yaw,3,,,5.182317980384689,{'mean_wrapped_yaw_error_rad': 0.0036518305169871467},1.5707963267948966,0.23248275124493445,160,30,50
yaw_window_04_+360deg,yaw,765.0,781.0,16.0,,5.0,3.0,765.0,770.0,770.0,773.0,778.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.004540152310839123, 'yaw_slope_radps': 0.0012082608661592984, 'yaw_rate_mean_radps': 0.01000565113372915}",E_yaw,4,,,6.753114307179586,{'mean_wrapped_yaw_error_rad': 0.004486548301747},1.5707963267948966,0.28562253585743336,160,30,50
yaw_window_05_-90deg,yaw,781.0,797.0,16.0,,5.0,3.0,781.0,786.0,786.0,789.0,794.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.0018732973985291013, 'yaw_slope_radps': 0.0014563946602214083, 'yaw_rate_mean_radps': 0.0062356206889108085}",E_yaw,5,,,-1.1008673267948965,{'mean_wrapped_yaw_error_rad': -0.002225136001480834},1.5707963267948966,0.1416565574749639,160,30,50
yaw_window_06_-180deg,yaw,797.0,813.0,16.0,,5.0,3.0,797.0,802.0,802.0,805.0,810.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.0014340241288567646, 'yaw_slope_radps': 0.0005519877775077421, 'yaw_rate_mean_radps': 0.003941154382052134}",E_yaw,6,,,-2.671663653589793,{'mean_wrapped_yaw_error_rad': -0.0014461348136951013},1.5707963267948966,0.092063801590741,160,30,50
yaw_window_07_-270deg,yaw,813.0,829.0,16.0,,5.0,3.0,813.0,818.0,818.0,821.0,826.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.003620287382361185, 'yaw_slope_radps': 0.0012486999491545846, 'yaw_rate_mean_radps': 0.017138836498726003}",E_yaw,7,,,-4.24245998038469,{'mean_wrapped_yaw_error_rad': -0.0023827492490508108},1.5707963267948966,0.15169052845397527,160,30,50
yaw_window_08_-360deg,yaw,829.0,845.0,16.0,,5.0,3.0,829.0,834.0,834.0,837.0,842.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.0033169173237639735, 'yaw_slope_radps': 0.003693828426555543, 'yaw_rate_mean_radps': 0.005450789977770644}",E_yaw,8,,,-5.813256307179587,{'mean_wrapped_yaw_error_rad': -0.0043053321935002135},1.5707963267948966,0.27408596009929254,160,30,50
yaw_window_09_+180deg,yaw,845.0,861.0,16.0,,5.0,3.0,845.0,850.0,850.0,853.0,858.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.011822321063729746, 'yaw_slope_radps': 0.00967344322412785, 'yaw_rate_mean_radps': 0.027017475717193866}",E_yaw,9,,,3.611521653589793,{'mean_wrapped_yaw_error_rad': -0.005443325196044775},3.141592653589793,0.17326642236143724,160,30,50
yaw_window_10_+0deg,yaw,861.0,877.0,16.0,,5.0,3.0,861.0,866.0,866.0,869.0,874.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.01810937031584887, 'yaw_slope_radps': 0.013745471286302439, 'yaw_rate_mean_radps': 0.03505892220843072}",E_yaw,10,,,0.469929,{'mean_wrapped_yaw_error_rad': -0.004485645919297471},3.141592653589793,0.14278254420323633,160,30,50
return_p0_hover,hold,877.0,882.0,5.0,,5.0,3.0,877.0,877.0,,,,,,,,10,,,,,,,50,,
